Date,Open_samsung,High_samsung,Low_samsung,Close_samsung,Volume_samsung,Change_samsung,Open_lg,High_lg,Low_lg,Close_lg,Volume_lg,Change_lg
2015-01-02,26799,26799,26540,26600,175499,0.0022607385079125297,59000,59500,58700,58800,281751,-0.005076142131979711
2015-01-05,26720,26720,26260,26660,202790,0.0022556390977443996,58500,58900,57500,58400,379003,-0.006802721088435382
2015-01-06,26300,26340,25760,25900,304710,-0.028507126781695424,58100,60500,57700,60100,799629,0.02910958904109595
2015-01-07,25880,26220,25640,26140,286455,0.009266409266409203,59500,60600,59300,60000,703542,-0.0016638935108153063
2015-01-08,26780,26780,26199,26280,289552,0.00535577658760511,60300,63000,60300,62200,1404924,0.036666666666666625
2015-01-09,26280,26440,26280,26280,186248,0.0,62600,63500,61600,61700,790827,-0.008038585209003246
2015-01-12,26260,26379,26020,26320,166508,0.0015220700152207556,61800,62500,61500,62100,345689,0.006482982171799101
2015-01-13,26280,26800,26000,26780,245868,0.01747720364741645,62300,62500,61200,61500,480779,-0.009661835748792313
2015-01-14,26780,27100,26700,26900,286645,0.004480955937266717,61800,63300,61600,62100,747541,0.009756097560975618
2015-01-15,26900,26979,26580,26680,282078,-0.008178438661710086,62100,62100,60100,60900,831693,-0.019323671497584516
2015-01-16,26680,26680,26260,26320,271370,-0.013493253373313308,61000,61400,60200,60800,476325,-0.0016420361247947435
2015-01-19,26580,26980,26400,26860,133459,0.020516717325227862,60900,61800,60200,60800,517492,0.0
2015-01-20,27000,27440,26900,27440,265561,0.021593447505584562,60800,61400,60300,60500,367894,-0.004934210526315819
2015-01-21,27340,27900,27200,27900,332253,0.016763848396501357,60500,60800,59600,60000,717043,-0.008264462809917328
2015-01-22,27960,27979,27560,27560,359154,-0.012186379928315394,60300,61900,60300,61800,694654,0.030000000000000027
2015-01-23,27999,27999,27540,27720,257175,0.005805515239477588,62500,62800,61400,62000,500255,0.003236245954692629
2015-01-26,27500,27900,27280,27780,203070,0.0021645021645022577,61500,63000,61300,62800,572275,0.012903225806451646
2015-01-27,27500,27999,27480,28000,199144,0.007919366450684029,62700,64300,62500,64300,998456,0.023885350318471277
2015-01-28,27720,27800,27479,27560,216630,-0.01571428571428568,63500,64100,62900,63500,888227,-0.01244167962674958
2015-01-29,27360,27900,27140,27200,274045,-0.013062409288824406,64100,64200,62100,62600,751274,-0.014173228346456734
2015-01-30,27200,27540,27200,27300,322200,0.003676470588235281,62600,62600,60600,60800,1283736,-0.028753993610223683
2015-02-02,27299,27540,27120,27360,210420,0.00219780219780219,60800,60900,60100,60500,710090,-0.004934210526315819
2015-02-03,27600,27600,27180,27320,113088,-0.0014619883040936088,60500,60800,60100,60300,649925,-0.0033057851239669533
2015-02-04,27500,27620,27180,27180,186578,-0.00512445095168379,60800,61500,60500,61300,785858,0.016583747927031434
2015-02-05,27180,27379,26920,27160,135408,-0.0007358351729213064,61200,61200,60300,60600,523922,-0.011419249592169667
2015-02-06,26919,27480,26720,27440,160101,0.010309278350515427,60500,60800,60000,60300,586993,-0.004950495049504955
2015-02-09,27200,27980,27140,27900,173870,0.016763848396501357,60100,60800,60000,60100,476922,-0.0033167495854062867
2015-02-10,28000,28000,27540,27560,130387,-0.012186379928315394,60100,60600,59100,59300,775822,-0.01331114808652245
2015-02-11,27480,27480,27080,27100,199476,-0.01669085631349787,59600,60500,59200,60000,462284,0.01180438448566612
2015-02-12,26800,27160,26620,26880,214964,-0.00811808118081181,60400,60700,59700,59900,579748,-0.0016666666666667052
2015-02-13,27200,27220,26900,27220,130458,0.012648809523809534,60000,60400,59400,60000,494931,0.0016694490818029983
2015-02-16,27360,27480,27220,27480,124530,0.009551800146950784,59700,60000,59300,59500,457237,-0.008333333333333304
2015-02-17,27479,27539,27280,27540,114900,0.0021834061135370675,59500,60900,59500,60600,538704,0.018487394957983128
2015-02-23,27560,27800,27320,27340,306036,-0.0072621641249092095,61600,61600,60700,60900,437005,0.004950495049504955
2015-02-24,27699,27780,27280,27340,217265,0.0,60800,61500,60800,61200,382170,0.0049261083743843415
